Alias,Category,MovieNominee,Movie,Nominee,Seen,Critic,color
Variety,Actress in a Supporting Role,Da'Vine Joy Randolph - The Holdovers,The Holdovers,Da'Vine Joy Randolph,NA - Critics' Pick,True,#c22b07
Variety,Actress in a Leading Role,Lilly Gladstone - Killers of the Flower Moon,Killers of the Flower Moon,Lilly Gladstone,NA - Critics' Pick,True,#833014ff
Variety,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,NA - Critics' Pick,True,#3e3222ff
Variety,Best Picture,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Sound,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,NA - Critics' Pick,True,#EF4397
Screen Rant,Writing (Adapted Screenplay),Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Writing (Original Screenplay),The Holdovers,The Holdovers,NA,NA - Critics' Pick,True,#c22b07
Screen Rant,Makeup and Hairstyling,Maestro,Maestro,NA,NA - Critics' Pick,True,#ffee02
Screen Rant,Production Design,Barbie,Barbie,NA,NA - Critics' Pick,True,#EF4397
Screen Rant,Visual Effects,The Creator,The Creator,NA,NA - Critics' Pick,True,#6b7b92ff
Screen Rant,Cinematography,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Animated Short Film,Letter to a Pig,Letter to a Pig,NA,NA - Critics' Pick,True,#c28a7dff
Screen Rant,Animated Feature Film,Spider-Man: Across the Spider-verse,Spider-Man: Across the Spider-verse,NA,NA - Critics' Pick,True,#444b9fff
Screen Rant,Documentary Short Film,The Last Repair Shop,The Last Repair Shop,NA,NA - Critics' Pick,True,#f6c040ff
Screen Rant,Documentary Feature Film,20 Days In Mariupol,20 Days In Mariupol,NA,NA - Critics' Pick,True,#766c6cff
Screen Rant,Live Action Short Film,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,NA,NA - Critics' Pick,True,#0386a3ff
Screen Rant,Actor in a Supporting Role,Robert Downer Jr. - Oppenheimer,Oppenheimer,Robert Downer Jr.,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Actor in a Leading Role,Paul Giamatti - The Holdovers,The Holdovers,Paul Giamatti,NA - Critics' Pick,True,#c22b07
Screen Rant,Actress in a Supporting Role,Da'Vine Joy Randolph - The Holdovers,The Holdovers,Da'Vine Joy Randolph,NA - Critics' Pick,True,#c22b07
Screen Rant,Actress in a Leading Role,Lilly Gladstone - Killers of the Flower Moon,Killers of the Flower Moon,Lilly Gladstone,NA - Critics' Pick,True,#833014ff
Screen Rant,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,NA - Critics' Pick,True,#3e3222ff
Screen Rant,Best Picture,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Sound,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,NA - Critics' Pick,True,#EF4397
Gold Derby,Writing (Adapted Screenplay),Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Writing (Original Screenplay),The Holdovers,The Holdovers,NA,NA - Critics' Pick,True,#c22b07
Gold Derby,Makeup and Hairstyling,Maestro,Maestro,NA,NA - Critics' Pick,True,#ffee02
Gold Derby,Production Design,Barbie,Barbie,NA,NA - Critics' Pick,True,#EF4397
Gold Derby,Visual Effects,Guardian's of the Galaxy Vol. 3,Guardian's of the Galaxy Vol. 3,NA,NA - Critics' Pick,True,#58259dff
Gold Derby,Cinematography,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Animated Short Film,Letter to a Pig,Letter to a Pig,NA,NA - Critics' Pick,True,#c28a7dff
Gold Derby,Animated Feature Film,Spider-Man: Across the Spider-verse,Spider-Man: Across the Spider-verse,NA,NA - Critics' Pick,True,#444b9fff
Gold Derby,Documentary Short Film,The ABCs of Book Banning,The ABCs of Book Banning,NA,NA - Critics' Pick,True,#1392a9ff
Gold Derby,Documentary Feature Film,20 Days In Mariupol,20 Days In Mariupol,NA,NA - Critics' Pick,True,#766c6cff
Gold Derby,Live Action Short Film,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,NA,NA - Critics' Pick,True,#0386a3ff
Gold Derby,Actor in a Supporting Role,Robert Downer Jr. - Oppenheimer,Oppenheimer,Robert Downer Jr.,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Actress in a Supporting Role,Da'Vine Joy Randolph - The Holdovers,The Holdovers,Da'Vine Joy Randolph,NA - Critics' Pick,True,#c22b07
Gold Derby,Actress in a Leading Role,Emma Stone - Poor Things,Poor Things,Emma Stone,NA - Critics' Pick,True,#83b2cbff
Gold Derby,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,NA - Critics' Pick,True,#3e3222ff
Gold Derby,Best Picture,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,Sound,The Zone of Interest,The Zone of Interest,NA,NA - Critics' Pick,True,black
Roger Ebert,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,NA - Critics' Pick,True,#EF4397
Roger Ebert,Writing (Adapted Screenplay),American Fiction,American Fiction,NA,NA - Critics' Pick,True,#607292ff
Roger Ebert,Writing (Original Screenplay),Anatomy of a Fall,Anatomy of a Fall,NA,NA - Critics' Pick,True,#384377ff
Roger Ebert,Makeup and Hairstyling,Poor Things,Poor Things,NA,NA - Critics' Pick,True,#83b2cbff
Roger Ebert,Production Design,Barbie,Barbie,NA,NA - Critics' Pick,True,#EF4397
Roger Ebert,Visual Effects,Napoleon,Napoleon,NA,NA - Critics' Pick,True,#91897cff
Roger Ebert,Cinematography,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,Animated Short Film,Letter to a Pig,Letter to a Pig,NA,NA - Critics' Pick,True,#c28a7dff
Roger Ebert,Animated Feature Film,Spider-Man: Across the Spider-verse,Spider-Man: Across the Spider-verse,NA,NA - Critics' Pick,True,#444b9fff
Roger Ebert,Documentary Short Film,The ABCs of Book Banning,The ABCs of Book Banning,NA,NA - Critics' Pick,True,#1392a9ff
Roger Ebert,Documentary Feature Film,20 Days In Mariupol,20 Days In Mariupol,NA,NA - Critics' Pick,True,#766c6cff
Roger Ebert,Live Action Short Film,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,NA,NA - Critics' Pick,True,#0386a3ff
Roger Ebert,Actor in a Supporting Role,Robert Downer Jr. - Oppenheimer,Oppenheimer,Robert Downer Jr.,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,Actress in a Supporting Role,Da'Vine Joy Randolph - The Holdovers,The Holdovers,Da'Vine Joy Randolph,NA - Critics' Pick,True,#c22b07
Roger Ebert,Actress in a Leading Role,Emma Stone - Poor Things,Poor Things,Emma Stone,NA - Critics' Pick,True,#83b2cbff
Roger Ebert,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,NA - Critics' Pick,True,#3e3222ff
Roger Ebert,Best Picture,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Awards Daily,Sound,The Zone of Interest,The Zone of Interest,NA,NA - Critics' Pick,True,black
Awards Daily,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,NA - Critics' Pick,True,#EF4397
Awards Daily,Writing (Adapted Screenplay),American Fiction,American Fiction,NA,NA - Critics' Pick,True,#607292ff
Awards Daily,Writing (Original Screenplay),Anatomy of a Fall,Anatomy of a Fall,NA,NA - Critics' Pick,True,#384377ff
Awards Daily,Makeup and Hairstyling,Maestro,Maestro,NA,NA - Critics' Pick,True,#ffee02
Awards Daily,Production Design,Poor Things,Poor Things,NA,NA - Critics' Pick,True,#83b2cbff
Awards Daily,Visual Effects,The Creator,The Creator,NA,NA - Critics' Pick,True,#6b7b92ff
Awards Daily,Cinematography,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
Awards Daily,Animated Short Film,War is Over! Inspired by the Music of John and Yoko,War is Over! Inspired by the Music of John and Yoko,NA,NA - Critics' Pick,True,#844619ff
Awards Daily,Animated Feature Film,Spider-Man: Across the Spider-verse,Spider-Man: Across the Spider-verse,NA,NA - Critics' Pick,True,#444b9fff
Awards Daily,Documentary Short Film,The ABCs of Book Banning,The ABCs of Book Banning,NA,NA - Critics' Pick,True,#1392a9ff
Awards Daily,Documentary Feature Film,20 Days In Mariupol,20 Days In Mariupol,NA,NA - Critics' Pick,True,#766c6cff
Awards Daily,Live Action Short Film,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,NA,NA - Critics' Pick,True,#0386a3ff
Awards Daily,Actor in a Supporting Role,Robert Downer Jr. - Oppenheimer,Oppenheimer,Robert Downer Jr.,NA - Critics' Pick,True,#3e3222ff
Awards Daily,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,NA - Critics' Pick,True,#3e3222ff
Awards Daily,Actress in a Supporting Role,Da'Vine Joy Randolph - The Holdovers,The Holdovers,Da'Vine Joy Randolph,NA - Critics' Pick,True,#c22b07
Awards Daily,Actress in a Leading Role,Lilly Gladstone - Killers of the Flower Moon,Killers of the Flower Moon,Lilly Gladstone,NA - Critics' Pick,True,#833014ff
Awards Daily,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,NA - Critics' Pick,True,#3e3222ff
Awards Daily,Best Picture,Oppenheimer,Oppenheimer,NA,NA - Critics' Pick,True,#3e3222ff
tanner,Sound,The Zone of Interest,The Zone of Interest,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,black
tanner,Music (Original Song),I'm Just Ken - Barbie,Barbie,I'm Just Ken,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#EF4397
tanner,Writing (Adapted Screenplay),Poor Things,Poor Things,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#83b2cbff
tanner,Writing (Original Screenplay),Past Lives,Past Lives,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#656d5cff
tanner,Makeup and Hairstyling,Maestro,Maestro,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#ffee02
tanner,Production Design,Barbie,Barbie,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#EF4397
tanner,Visual Effects,Godzilla Minus One,Godzilla Minus One,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#a09e9eff
tanner,Cinematography,Killers of the Flower Moon,Killers of the Flower Moon,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#833014ff
tanner,Animated Short Film,Ninety-Five Senses,Ninety-Five Senses,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#85be87ff
tanner,Animated Feature Film,The Boy And The Heron,The Boy And The Heron,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#3c5b67ff
tanner,Documentary Short Film,The Barber of Little Rock,The Barber of Little Rock,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#69534cff
tanner,Documentary Feature Film,20 Days In Mariupol,20 Days In Mariupol,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#766c6cff
tanner,Live Action Short Film,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#0386a3ff
tanner,Actor in a Supporting Role,Ryan Gosling - Barbie,Barbie,Ryan Gosling,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#EF4397
tanner,Actor in a Leading Role,Paul Giamatti - The Holdovers,The Holdovers,Paul Giamatti,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#c22b07
tanner,Actress in a Supporting Role,America Ferrera - Barbie,Barbie,America Ferrera,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#EF4397
tanner,Actress in a Leading Role,Emma Stone - Poor Things,Poor Things,Emma Stone,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#83b2cbff
tanner,Directing,Justine Triet - Anatomy of a Fall,Anatomy of a Fall,Justine Triet,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#384377ff
tanner,Best Picture,Anatomy of a Fall,Anatomy of a Fall,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Napoleon, Oppenheimer, Poor Things, The Boy and the Heron",False,#384377ff
Taylor,Sound,Maestro,Maestro,NA,Elemental,False,#ffee02
Taylor,Music (Original Song),I'm Just Ken - Barbie,Barbie,I'm Just Ken,Elemental,False,#EF4397
Taylor,Writing (Adapted Screenplay),Oppenheimer,Oppenheimer,NA,Elemental,False,#3e3222ff
Taylor,Writing (Original Screenplay),The Holdovers,The Holdovers,NA,Elemental,False,#c22b07
Taylor,Makeup and Hairstyling,Maestro,Maestro,NA,Elemental,False,#ffee02
Taylor,Production Design,Napoleon,Napoleon,NA,Elemental,False,#91897cff
Taylor,Cinematography,Oppenheimer,Oppenheimer,NA,Elemental,False,#3e3222ff
Taylor,Animated Short Film,Letter to a Pig,Letter to a Pig,NA,Elemental,False,#c28a7dff
Taylor,Animated Feature Film,Spider-Man: Across the Spider-verse,Spider-Man: Across the Spider-verse,NA,Elemental,False,#444b9fff
Taylor,Documentary Short Film,NǍI NAI & WÀI PÓ,NǍI NAI & WÀI PÓ,NA,Elemental,False,#8e212dff
Taylor,Documentary Feature Film,Four Daughters,Four Daughters,NA,Elemental,False,#053a49ff
Taylor,Live Action Short Film,Invincible,Invincible,NA,Elemental,False,#30c3e7ff
Taylor,Actor in a Supporting Role,Mark Ruffalo - Poor Things,Poor Things,Mark Ruffalo,Elemental,False,#83b2cbff
Taylor,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,Elemental,False,#3e3222ff
Taylor,Actress in a Supporting Role,America Ferrera - Barbie,Barbie,America Ferrera,Elemental,False,#EF4397
Taylor,Actress in a Leading Role,Lilly Gladstone - Killers of the Flower Moon,Killers of the Flower Moon,Lilly Gladstone,Elemental,False,#833014ff
Taylor,Directing,Martin Scorsese - Killers of the Flower Moon,Killers of the Flower Moon,Martin Scorsese,Elemental,False,#833014ff
Taylor,Best Picture,Past Lives,Past Lives,NA,Elemental,False,#656d5cff
Erik Light,Sound,The Creator,The Creator,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#6b7b92ff
Erik Light,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Erik Light,Writing (Adapted Screenplay),Barbie,Barbie,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Erik Light,Writing (Original Screenplay),Maestro,Maestro,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#ffee02
Erik Light,Makeup and Hairstyling,Maestro,Maestro,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#ffee02
Erik Light,Production Design,Barbie,Barbie,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Erik Light,Visual Effects,The Creator,The Creator,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#6b7b92ff
Erik Light,Cinematography,Oppenheimer,Oppenheimer,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#3e3222ff
Erik Light,Animated Short Film,Pachyderme,Pachyderme,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#5f6542ff
Erik Light,Animated Feature Film,Spider-Man: Across the Spider-verse,Spider-Man: Across the Spider-verse,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#444b9fff
Erik Light,Documentary Short Film,NǍI NAI & WÀI PÓ,NǍI NAI & WÀI PÓ,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#8e212dff
Erik Light,Documentary Feature Film,To Kill A Tiger,To Kill A Tiger,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#88580dff
Erik Light,Live Action Short Film,Knight of Fortune,Knight of Fortune,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#345759ff
Erik Light,Actor in a Supporting Role,Ryan Gosling - Barbie,Barbie,Ryan Gosling,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Erik Light,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#3e3222ff
Erik Light,Actress in a Supporting Role,America Ferrera - Barbie,Barbie,America Ferrera,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Erik Light,Actress in a Leading Role,Emma Stone - Poor Things,Poor Things,Emma Stone,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#83b2cbff
Erik Light,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#3e3222ff
Erik Light,Best Picture,Barbie,Barbie,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Spider-Man: Across the Spider-verse",False,#EF4397
Kg,Sound,Oppenheimer,Oppenheimer,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#EF4397
Kg,Writing (Adapted Screenplay),Oppenheimer,Oppenheimer,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Writing (Original Screenplay),Past Lives,Past Lives,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#656d5cff
Kg,Makeup and Hairstyling,Poor Things,Poor Things,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#83b2cbff
Kg,Production Design,Poor Things,Poor Things,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#83b2cbff
Kg,Visual Effects,Godzilla Minus One,Godzilla Minus One,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#a09e9eff
Kg,Cinematography,Oppenheimer,Oppenheimer,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Animated Feature Film,The Boy And The Heron,The Boy And The Heron,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3c5b67ff
Kg,Actor in a Supporting Role,Robert Downer Jr. - Oppenheimer,Oppenheimer,Robert Downer Jr.,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Actress in a Supporting Role,Da'Vine Joy Randolph - The Holdovers,The Holdovers,Da'Vine Joy Randolph,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#c22b07
Kg,Actress in a Leading Role,Lilly Gladstone - Killers of the Flower Moon,Killers of the Flower Moon,Lilly Gladstone,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#833014ff
Kg,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Kg,Best Picture,Oppenheimer,Oppenheimer,NA,"Barbie, Guardian's of the Galaxy Vol. 3, Killers of the Flower Moon, Oppenheimer, Past Lives, Poor Things, Spider-Man: Across the Spider-verse, The Holdovers",False,#3e3222ff
Cnewton,Sound,Maestro,Maestro,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#ffee02
Cnewton,Music (Original Song),What Was I Made For? - Barbie,Barbie,What Was I Made For?,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#EF4397
Cnewton,Writing (Adapted Screenplay),Poor Things,Poor Things,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#83b2cbff
Cnewton,Writing (Original Screenplay),Anatomy of a Fall,Anatomy of a Fall,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#384377ff
Cnewton,Makeup and Hairstyling,Poor Things,Poor Things,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#83b2cbff
Cnewton,Production Design,Oppenheimer,Oppenheimer,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
Cnewton,Visual Effects,Godzilla Minus One,Godzilla Minus One,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#a09e9eff
Cnewton,Cinematography,Oppenheimer,Oppenheimer,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
Cnewton,Animated Short Film,Letter to a Pig,Letter to a Pig,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#c28a7dff
Cnewton,Animated Feature Film,Elemental,Elemental,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#7e6caeff
Cnewton,Documentary Short Film,The Barber of Little Rock,The Barber of Little Rock,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#69534cff
Cnewton,Documentary Feature Film,To Kill A Tiger,To Kill A Tiger,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#88580dff
Cnewton,Live Action Short Film,The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,NA,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#0386a3ff
Cnewton,Actor in a Supporting Role,Robert Downer Jr. - Oppenheimer,Oppenheimer,Robert Downer Jr.,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
Cnewton,Actor in a Leading Role,Cillian Murphy - Oppenheimer,Oppenheimer,Cillian Murphy,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
Cnewton,Actress in a Supporting Role,Emily Blunt - Oppenheimer,Oppenheimer,Emily Blunt,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
Cnewton,Actress in a Leading Role,Emma Stone - Poor Things,Poor Things,Emma Stone,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#83b2cbff
Cnewton,Directing,Christopher Nolan - Oppenheimer,Oppenheimer,Christopher Nolan,"Barbie, Elemental, Guardian's of the Galaxy Vol. 3, Indiana Jones and the Dial of Destiny, Society of the Snow, The Color Purple",False,#3e3222ff
